policy,threshold_fraction,horizon_days,mean_crossing_days,censored_fraction,n
active_evaluation,0.30,60,60.988778,0.996599,18816
active_evaluation,0.30,120,104.121326,0.261001,18816
active_evaluation,0.30,180,108.238895,0.000000,18816
active_evaluation,0.30,240,108.238895,0.000000,18816
active_evaluation,0.40,60,59.739723,0.833759,18816
active_evaluation,0.40,120,78.337260,0.010576,18816
active_evaluation,0.40,180,78.399051,0.000000,18816
active_evaluation,0.40,240,78.399051,0.000000,18816
active_evaluation,0.50,60,54.244902,0.424904,18816
active_evaluation,0.50,120,58.642413,0.000000,18816
active_evaluation,0.50,180,58.642413,0.000000,18816
active_evaluation,0.50,240,58.642413,0.000000,18816
active_evaluation,0.70,60,31.713377,0.000000,18816
active_evaluation,0.70,120,31.713377,0.000000,18816
active_evaluation,0.70,180,31.713377,0.000000,18816
active_evaluation,0.70,240,31.713377,0.000000,18816
active_evaluation,0.80,60,19.402248,0.000000,18816
active_evaluation,0.80,120,19.402248,0.000000,18816
active_evaluation,0.80,180,19.402248,0.000000,18816
active_evaluation,0.80,240,19.402248,0.000000,18816
adaptive_recalibration,0.30,60,61.000000,1.000000,18816
adaptive_recalibration,0.30,120,117.919323,0.851137,18816
adaptive_recalibration,0.30,180,149.090035,0.204294,18816
adaptive_recalibration,0.30,240,152.774819,0.009301,18816
adaptive_recalibration,0.40,60,60.999525,0.999681,18816
adaptive_recalibration,0.40,120,108.041699,0.386426,18816
adaptive_recalibration,0.40,180,114.553386,0.000744,18816
adaptive_recalibration,0.40,240,114.555051,0.000000,18816
adaptive_recalibration,0.50,60,60.272714,0.880580,18816
adaptive_recalibration,0.50,120,81.573917,0.028221,18816
adaptive_recalibration,0.50,180,81.751598,0.000000,18816
adaptive_recalibration,0.50,240,81.751598,0.000000,18816
adaptive_recalibration,0.70,60,42.685865,0.016741,18816
adaptive_recalibration,0.70,120,42.752628,0.000000,18816
adaptive_recalibration,0.70,180,42.752628,0.000000,18816
adaptive_recalibration,0.70,240,42.752628,0.000000,18816
adaptive_recalibration,0.80,60,27.437777,0.000000,18816
adaptive_recalibration,0.80,120,27.437777,0.000000,18816
adaptive_recalibration,0.80,180,27.437777,0.000000,18816
adaptive_recalibration,0.80,240,27.437777,0.000000,18816
calendar_recalibration,0.30,60,60.960941,0.996758,18816
calendar_recalibration,0.30,120,106.792808,0.441114,18816
calendar_recalibration,0.30,180,115.568037,0.007972,18816
calendar_recalibration,0.30,240,115.616615,0.000000,18816
calendar_recalibration,0.40,60,58.926450,0.834290,18816
calendar_recalibration,0.40,120,80.209781,0.054050,18816
calendar_recalibration,0.40,180,80.791576,0.000000,18816
calendar_recalibration,0.40,240,80.791576,0.000000,18816
calendar_recalibration,0.50,60,53.325483,0.457217,18816
calendar_recalibration,0.50,120,59.117621,0.000000,18816
calendar_recalibration,0.50,180,59.117621,0.000000,18816
calendar_recalibration,0.50,240,59.117621,0.000000,18816
calendar_recalibration,0.70,60,23.118692,0.000319,18816
calendar_recalibration,0.70,120,23.119730,0.000000,18816
calendar_recalibration,0.70,180,23.119730,0.000000,18816
calendar_recalibration,0.70,240,23.119730,0.000000,18816
calendar_recalibration,0.80,60,12.859046,0.000000,18816
calendar_recalibration,0.80,120,12.859046,0.000000,18816
calendar_recalibration,0.80,180,12.859046,0.000000,18816
calendar_recalibration,0.80,240,12.859046,0.000000,18816
conservative_fallback,0.30,60,60.838062,0.968431,18816
conservative_fallback,0.30,120,92.070866,0.079401,18816
conservative_fallback,0.30,180,92.836121,0.000000,18816
conservative_fallback,0.30,240,92.836121,0.000000,18816
conservative_fallback,0.40,60,58.573650,0.722205,18816
conservative_fallback,0.40,120,69.649506,0.000053,18816
conservative_fallback,0.40,180,69.649488,0.000000,18816
conservative_fallback,0.40,240,69.649488,0.000000,18816
conservative_fallback,0.50,60,51.665040,0.268761,18816
conservative_fallback,0.50,120,53.486589,0.000000,18816
conservative_fallback,0.50,180,53.486589,0.000000,18816
conservative_fallback,0.50,240,53.486589,0.000000,18816
conservative_fallback,0.70,60,29.055279,0.000000,18816
conservative_fallback,0.70,120,29.055279,0.000000,18816
conservative_fallback,0.70,180,29.055279,0.000000,18816
conservative_fallback,0.70,240,29.055279,0.000000,18816
conservative_fallback,0.80,60,18.313447,0.000000,18816
conservative_fallback,0.80,120,18.313447,0.000000,18816
conservative_fallback,0.80,180,18.313447,0.000000,18816
conservative_fallback,0.80,240,18.313447,0.000000,18816
continual_finetuning,0.30,60,61.000000,1.000000,18816
continual_finetuning,0.30,120,113.073575,0.525138,18816
continual_finetuning,0.30,180,125.543691,0.015147,18816
continual_finetuning,0.30,240,125.638092,0.000000,18816
continual_finetuning,0.40,60,60.825815,0.968006,18816
continual_finetuning,0.40,120,92.225885,0.076584,18816
continual_finetuning,0.40,180,93.083191,0.000000,18816
continual_finetuning,0.40,240,93.083191,0.000000,18816
continual_finetuning,0.50,60,57.731199,0.671290,18816
continual_finetuning,0.50,120,67.822832,0.000000,18816
continual_finetuning,0.50,180,67.822832,0.000000,18816
continual_finetuning,0.50,240,67.822832,0.000000,18816
continual_finetuning,0.70,60,36.168245,0.000744,18816
continual_finetuning,0.70,120,36.168023,0.000000,18816
continual_finetuning,0.70,180,36.168023,0.000000,18816
continual_finetuning,0.70,240,36.168023,0.000000,18816
continual_finetuning,0.80,60,22.350087,0.000000,18816
continual_finetuning,0.80,120,22.350087,0.000000,18816
continual_finetuning,0.80,180,22.350087,0.000000,18816
continual_finetuning,0.80,240,22.350087,0.000000,18816
domain_randomized,0.30,60,60.953885,0.987617,18816
domain_randomized,0.30,120,98.479896,0.164753,18816
domain_randomized,0.30,180,100.412135,0.000000,18816
domain_randomized,0.30,240,100.412135,0.000000,18816
domain_randomized,0.40,60,59.497412,0.812234,18816
domain_randomized,0.40,120,74.787700,0.003614,18816
domain_randomized,0.40,180,74.797190,0.000000,18816
domain_randomized,0.40,240,74.797190,0.000000,18816
domain_randomized,0.50,60,53.818646,0.400563,18816
domain_randomized,0.50,120,57.318424,0.000000,18816
domain_randomized,0.50,180,57.318424,0.000000,18816
domain_randomized,0.50,240,57.318424,0.000000,18816
domain_randomized,0.70,60,31.651278,0.000000,18816
domain_randomized,0.70,120,31.651278,0.000000,18816
domain_randomized,0.70,180,31.651278,0.000000,18816
domain_randomized,0.70,240,31.651278,0.000000,18816
domain_randomized,0.80,60,19.952615,0.000000,18816
domain_randomized,0.80,120,19.952615,0.000000,18816
domain_randomized,0.80,180,19.952615,0.000000,18816
domain_randomized,0.80,240,19.952615,0.000000,18816
ensemble_gating,0.30,60,60.999387,0.999787,18816
ensemble_gating,0.30,120,109.072854,0.396684,18816
ensemble_gating,0.30,180,116.364112,0.002338,18816
ensemble_gating,0.30,240,116.372080,0.000000,18816
ensemble_gating,0.40,60,60.354462,0.909120,18816
ensemble_gating,0.40,120,84.264923,0.036830,18816
ensemble_gating,0.40,180,84.512805,0.000000,18816
ensemble_gating,0.40,240,84.512805,0.000000,18816
ensemble_gating,0.50,60,55.952097,0.538956,18816
ensemble_gating,0.50,120,62.579597,0.000000,18816
ensemble_gating,0.50,180,62.579597,0.000000,18816
ensemble_gating,0.50,240,62.579597,0.000000,18816
ensemble_gating,0.70,60,34.067961,0.000000,18816
ensemble_gating,0.70,120,34.067961,0.000000,18816
ensemble_gating,0.70,180,34.067961,0.000000,18816
ensemble_gating,0.70,240,34.067961,0.000000,18816
ensemble_gating,0.80,60,20.611081,0.000000,18816
ensemble_gating,0.80,120,20.611081,0.000000,18816
ensemble_gating,0.80,180,20.611081,0.000000,18816
ensemble_gating,0.80,240,20.611081,0.000000,18816
frozen,0.30,60,56.487521,0.586788,18816
frozen,0.30,120,63.739739,0.000000,18816
frozen,0.30,180,63.739739,0.000000,18816
frozen,0.30,240,63.739739,0.000000,18816
frozen,0.40,60,49.347129,0.168420,18816
frozen,0.40,120,50.257667,0.000000,18816
frozen,0.40,180,50.257667,0.000000,18816
frozen,0.40,240,50.257667,0.000000,18816
frozen,0.50,60,39.549072,0.003401,18816
frozen,0.50,120,39.552573,0.000000,18816
frozen,0.50,180,39.552573,0.000000,18816
frozen,0.50,240,39.552573,0.000000,18816
frozen,0.70,60,20.563292,0.000000,18816
frozen,0.70,120,20.563292,0.000000,18816
frozen,0.70,180,20.563292,0.000000,18816
frozen,0.70,240,20.563292,0.000000,18816
frozen,0.80,60,12.843212,0.000000,18816
frozen,0.80,120,12.843212,0.000000,18816
frozen,0.80,180,12.843212,0.000000,18816
frozen,0.80,240,12.843212,0.000000,18816
human_repair,0.30,60,61.000000,1.000000,18816
human_repair,0.30,120,121.000000,1.000000,18816
human_repair,0.30,180,180.996333,0.999734,18816
human_repair,0.30,240,239.766305,0.950202,18816
human_repair,0.40,60,61.000000,1.000000,18816
human_repair,0.40,120,121.000000,1.000000,18816
human_repair,0.40,180,178.515522,0.869632,18816
human_repair,0.40,240,221.839370,0.601350,18816
human_repair,0.50,60,61.000000,1.000000,18816
human_repair,0.50,120,119.297964,0.926339,18816
human_repair,0.50,180,159.096916,0.351562,18816
human_repair,0.50,240,168.487311,0.051977,18816
human_repair,0.70,60,57.288225,0.744951,18816
human_repair,0.70,120,72.514522,0.007068,18816
human_repair,0.70,180,72.545603,0.000000,18816
human_repair,0.70,240,72.545603,0.000000,18816
human_repair,0.80,60,43.940126,0.075999,18816
human_repair,0.80,120,44.327061,0.000000,18816
human_repair,0.80,180,44.327061,0.000000,18816
human_repair,0.80,240,44.327061,0.000000,18816
meta_adaptation,0.30,60,61.000000,1.000000,18816
meta_adaptation,0.30,120,121.000000,1.000000,18816
meta_adaptation,0.30,180,178.796986,0.887383,18816
meta_adaptation,0.30,240,223.290346,0.607302,18816
meta_adaptation,0.40,60,61.000000,1.000000,18816
meta_adaptation,0.40,120,119.981487,0.951690,18816
meta_adaptation,0.40,180,162.789521,0.494420,18816
meta_adaptation,0.40,240,174.896538,0.063829,18816
meta_adaptation,0.50,60,61.000000,1.000000,18816
meta_adaptation,0.50,120,113.903729,0.547513,18816
meta_adaptation,0.50,180,128.403498,0.031409,18816
meta_adaptation,0.50,240,128.647033,0.000000,18816
meta_adaptation,0.70,60,53.090775,0.445844,18816
meta_adaptation,0.70,120,58.181731,0.000000,18816
meta_adaptation,0.70,180,58.181731,0.000000,18816
meta_adaptation,0.70,240,58.181731,0.000000,18816
meta_adaptation,0.80,60,37.933730,0.002657,18816
meta_adaptation,0.80,120,37.937745,0.000000,18816
meta_adaptation,0.80,180,37.937745,0.000000,18816
meta_adaptation,0.80,240,37.937745,0.000000,18816
oracle_maintenance,0.30,60,61.000000,1.000000,18816
oracle_maintenance,0.30,120,121.000000,1.000000,18816
oracle_maintenance,0.30,180,181.000000,1.000000,18816
oracle_maintenance,0.30,240,241.000000,1.000000,18816
oracle_maintenance,0.40,60,61.000000,1.000000,18816
oracle_maintenance,0.40,120,121.000000,1.000000,18816
oracle_maintenance,0.40,180,181.000000,1.000000,18816
oracle_maintenance,0.40,240,241.000000,1.000000,18816
oracle_maintenance,0.50,60,61.000000,1.000000,18816
oracle_maintenance,0.50,120,121.000000,1.000000,18816
oracle_maintenance,0.50,180,181.000000,1.000000,18816
oracle_maintenance,0.50,240,241.000000,1.000000,18816
oracle_maintenance,0.70,60,61.000000,1.000000,18816
oracle_maintenance,0.70,120,121.000000,1.000000,18816
oracle_maintenance,0.70,180,173.989737,0.735863,18816
oracle_maintenance,0.70,240,205.424954,0.355655,18816
oracle_maintenance,0.80,60,60.974771,0.987139,18816
oracle_maintenance,0.80,120,107.577851,0.423788,18816
oracle_maintenance,0.80,180,116.962942,0.030878,18816
oracle_maintenance,0.80,240,117.242901,0.000000,18816
overfit_rapid_adaptation,0.30,60,61.000000,1.000000,18816
overfit_rapid_adaptation,0.30,120,118.029758,0.827062,18816
overfit_rapid_adaptation,0.30,180,144.077497,0.110651,18816
overfit_rapid_adaptation,0.30,240,145.461423,0.000000,18816
overfit_rapid_adaptation,0.40,60,61.000000,1.000000,18816
overfit_rapid_adaptation,0.40,120,109.018263,0.355708,18816
overfit_rapid_adaptation,0.40,180,114.404305,0.000000,18816
overfit_rapid_adaptation,0.40,240,114.404305,0.000000,18816
overfit_rapid_adaptation,0.50,60,60.813089,0.963329,18816
overfit_rapid_adaptation,0.50,120,85.896609,0.026307,18816
overfit_rapid_adaptation,0.50,180,86.043046,0.000000,18816
overfit_rapid_adaptation,0.50,240,86.043046,0.000000,18816
overfit_rapid_adaptation,0.70,60,45.484047,0.053518,18816
overfit_rapid_adaptation,0.70,120,45.656905,0.000000,18816
overfit_rapid_adaptation,0.70,180,45.656905,0.000000,18816
overfit_rapid_adaptation,0.70,240,45.656905,0.000000,18816
overfit_rapid_adaptation,0.80,60,29.898892,0.000000,18816
overfit_rapid_adaptation,0.80,120,29.898892,0.000000,18816
overfit_rapid_adaptation,0.80,180,29.898892,0.000000,18816
overfit_rapid_adaptation,0.80,240,29.898892,0.000000,18816
self_calibration,0.30,60,61.000000,1.000000,18816
self_calibration,0.30,120,118.678575,0.893176,18816
self_calibration,0.30,180,154.436638,0.325361,18816
self_calibration,0.30,240,160.853372,0.023650,18816
self_calibration,0.40,60,61.000000,1.000000,18816
self_calibration,0.40,120,110.237676,0.463542,18816
self_calibration,0.40,180,118.966782,0.004996,18816
self_calibration,0.40,240,118.989154,0.000000,18816
self_calibration,0.50,60,60.321224,0.939998,18816
self_calibration,0.50,120,84.493533,0.045068,18816
self_calibration,0.50,180,84.816308,0.000000,18816
self_calibration,0.50,240,84.816308,0.000000,18816
self_calibration,0.70,60,43.107556,0.042995,18816
self_calibration,0.70,120,43.229678,0.000000,18816
self_calibration,0.70,180,43.229678,0.000000,18816
self_calibration,0.70,240,43.229678,0.000000,18816
self_calibration,0.80,60,26.788614,0.000000,18816
self_calibration,0.80,120,26.788614,0.000000,18816
self_calibration,0.80,180,26.788614,0.000000,18816
self_calibration,0.80,240,26.788614,0.000000,18816
sentinel_rehearsal,0.30,60,61.000000,1.000000,18816
sentinel_rehearsal,0.30,120,114.911369,0.654443,18816
sentinel_rehearsal,0.30,180,132.000758,0.043048,18816
sentinel_rehearsal,0.30,240,132.427166,0.000000,18816
sentinel_rehearsal,0.40,60,60.928894,0.989211,18816
sentinel_rehearsal,0.40,120,96.462310,0.146790,18816
sentinel_rehearsal,0.40,180,98.025232,0.000000,18816
sentinel_rehearsal,0.40,240,98.025232,0.000000,18816
sentinel_rehearsal,0.50,60,58.310156,0.742719,18816
sentinel_rehearsal,0.50,120,70.630504,0.000850,18816
sentinel_rehearsal,0.50,180,70.631832,0.000000,18816
sentinel_rehearsal,0.50,240,70.631832,0.000000,18816
sentinel_rehearsal,0.70,60,37.909991,0.002657,18816
sentinel_rehearsal,0.70,120,37.911101,0.000000,18816
sentinel_rehearsal,0.70,180,37.911101,0.000000,18816
sentinel_rehearsal,0.70,240,37.911101,0.000000,18816
sentinel_rehearsal,0.80,60,22.655298,0.000000,18816
sentinel_rehearsal,0.80,120,22.655298,0.000000,18816
sentinel_rehearsal,0.80,180,22.655298,0.000000,18816
sentinel_rehearsal,0.80,240,22.655298,0.000000,18816
tactile_servo_refresh,0.30,60,61.000000,1.000000,18816
tactile_servo_refresh,0.30,120,120.970190,0.998565,18816
tactile_servo_refresh,0.30,180,174.407407,0.747608,18816
tactile_servo_refresh,0.30,240,202.797101,0.274235,18816
tactile_servo_refresh,0.40,60,61.000000,1.000000,18816
tactile_servo_refresh,0.40,120,117.447665,0.818506,18816
tactile_servo_refresh,0.40,180,145.847316,0.189892,18816
tactile_servo_refresh,0.40,240,148.627659,0.002551,18816
tactile_servo_refresh,0.50,60,60.983592,0.994526,18816
tactile_servo_refresh,0.50,120,103.434304,0.274500,18816
tactile_servo_refresh,0.50,180,107.894671,0.000106,18816
tactile_servo_refresh,0.50,240,107.894714,0.000000,18816
tactile_servo_refresh,0.70,60,48.984079,0.134407,18816
tactile_servo_refresh,0.70,120,50.055597,0.000000,18816
tactile_servo_refresh,0.70,180,50.055597,0.000000,18816
tactile_servo_refresh,0.70,240,50.055597,0.000000,18816
tactile_servo_refresh,0.80,60,32.260932,0.000000,18816
tactile_servo_refresh,0.80,120,32.260932,0.000000,18816
tactile_servo_refresh,0.80,180,32.260932,0.000000,18816
tactile_servo_refresh,0.80,240,32.260932,0.000000,18816
uncertainty_rehearsal,0.30,60,61.000000,1.000000,18816
uncertainty_rehearsal,0.30,120,120.717669,0.987670,18816
uncertainty_rehearsal,0.30,180,169.440364,0.631112,18816
uncertainty_rehearsal,0.30,240,189.073105,0.169271,18816
uncertainty_rehearsal,0.40,60,61.000000,1.000000,18816
uncertainty_rehearsal,0.40,120,116.292571,0.741975,18816
uncertainty_rehearsal,0.40,180,137.558400,0.089020,18816
uncertainty_rehearsal,0.40,240,138.631714,0.000266,18816
uncertainty_rehearsal,0.50,60,60.988341,0.998512,18816
uncertainty_rehearsal,0.50,120,99.322939,0.213435,18816
uncertainty_rehearsal,0.50,180,101.679578,0.000000,18816
uncertainty_rehearsal,0.50,240,101.679578,0.000000,18816
uncertainty_rehearsal,0.70,60,47.911946,0.178093,18816
uncertainty_rehearsal,0.70,120,48.716537,0.000000,18816
uncertainty_rehearsal,0.70,180,48.716537,0.000000,18816
uncertainty_rehearsal,0.70,240,48.716537,0.000000,18816
uncertainty_rehearsal,0.80,60,30.477807,0.000000,18816
uncertainty_rehearsal,0.80,120,30.477807,0.000000,18816
uncertainty_rehearsal,0.80,180,30.477807,0.000000,18816
uncertainty_rehearsal,0.80,240,30.477807,0.000000,18816
